pal_number,pal_name,kindling,planting,handiwork,lumbering,medicine_production,transporting,watering,generating_electricity,gathering,mining,cooling,farming
1,Lamball,0,0,1,0,0,1,0,0,0,0,0,1
2,Cattiva,0,0,1,0,0,1,0,0,1,1,0,0
3,Chikipi,0,0,0,0,0,0,0,0,1,0,0,1
4,Lifmunk,0,1,1,1,1,0,0,0,1,0,0,0
5,Foxparks,1,0,0,0,0,0,0,0,0,0,0,0
6,Fuack,0,0,1,0,0,1,1,0,0,0,0,0
7,Sparkit,0,0,1,0,0,1,0,1,0,0,0,0
8,Tanzee,0,1,1,1,1,0,0,0,1,0,0,0
9,Rooby,1,0,0,0,0,0,0,0,0,0,0,0
10,Pengullet,0,0,1,0,0,1,1,0,0,0,1,0
11,Penking,0,0,2,0,0,2,2,0,0,2,2,0
12,Jolthog,0,0,0,0,0,0,0,1,0,0,0,0
13,Gumoss,0,1,0,0,0,0,0,0,0,0,0,0
14,Vixy,0,0,0,0,0,0,0,0,1,0,0,1
15,Hoocrates,0,0,0,0,0,0,0,0,1,0,0,0
16,Teafant,0,0,0,0,0,0,1,0,0,0,0,0
17,Depresso,0,0,1,0,0,1,0,0,0,1,0,0
18,Cremis,0,0,0,0,0,0,0,0,1,0,0,1
19,Daedream,0,0,1,0,0,1,0,0,1,0,0,0
20,Rushoar,0,0,0,0,0,0,0,0,0,1,0,0
21,Nox,0,0,0,0,0,0,0,0,1,0,0,0
22,Fuddler,0,0,1,0,0,1,0,0,0,1,0,0
23,Killamari,0,0,0,0,0,2,0,0,1,0,0,0
24,Mau,0,0,0,0,0,0,0,0,0,0,0,1
25,Celaray,0,0,0,0,0,1,1,0,0,0,0,0
26,Direhowl,0,0,0,0,0,0,0,0,1,0,0,0
27,Tocotoco,0,0,0,0,0,0,0,0,1,0,0,0
28,Flopie,0,1,1,0,1,1,0,0,1,0,0,0
29,Mozzarina,0,0,0,0,0,0,0,0,0,0,0,1
30,Bristla,0,1,1,0,2,1,0,0,1,0,0,0
31,Gobfin,0,0,1,0,0,1,1,0,0,0,0,0
32,Hangyu,0,0,1,0,0,2,0,0,1,0,0,0
33,Mossanda,0,2,2,2,0,3,0,0,0,0,0,0
34,Woolipop,0,0,0,0,0,0,0,0,0,0,0,1
35,Caprity,0,2,0,0,0,0,0,0,0,0,0,1
36,Melpaca,0,0,0,0,0,0,0,0,0,0,0,1
37,Eikthyrdeer,0,0,0,2,0,0,0,0,0,0,0,0
38,Nitewing,0,0,0,0,0,0,0,0,2,0,0,0
39,Ribbuny,0,0,1,0,0,1,0,0,1,0,0,0
40,Incineram,1,0,2,0,0,2,0,0,0,1,0,0
41,Cinnamoth,0,2,0,0,1,0,0,0,0,0,0,0
42,Arsox,2,0,0,1,0,0,0,0,0,0,0,0
43,Dumud,0,0,0,0,0,1,1,0,0,2,0,0
44,Cawgnito,0,0,0,1,0,0,0,0,0,0,0,0
45,Leezpunk,0,0,1,0,0,1,0,0,1,0,0,0
46,Loupmoon,0,0,2,0,0,0,0,0,0,0,0,0
47,Galeclaw,0,0,0,0,0,0,0,0,2,0,0,0
48,Robinquill,0,1,2,1,1,2,0,0,2,0,0,0
49,Gorirat,0,0,1,2,0,3,0,0,0,0,0,0
50,Beegarde,0,1,1,1,1,2,0,0,1,0,0,1
51,Elizabee,0,2,2,1,1,2,0,0,2,0,0,1
52,Grintale,0,0,0,0,0,0,0,0,2,0,0,0
53,Swee,0,0,0,0,0,0,0,0,1,0,1,0
54,Sweepa,0,0,0,0,0,0,0,0,2,0,2,0
55,Chillet,0,0,0,0,0,0,0,0,1,0,1,0
56,Univolt,0,0,0,1,0,0,0,2,0,0,0,0
57,Foxcicle,0,0,0,0,0,0,0,0,0,0,1,0
58,Pyrin,2,0,0,1,0,0,0,0,0,0,0,0
59,Reindrix,0,0,0,2,0,0,0,0,0,0,2,0
60,Rayhound,0,0,0,0,0,0,0,2,0,0,0,0
61,Kitsun,2,0,0,0,0,0,0,0,0,0,0,0
62,Dazzi,0,0,1,0,0,1,0,1,0,0,0,0
63,Lunaris,0,0,3,0,0,1,0,0,1,0,0,0
64,Dinossom,0,2,0,2,0,0,0,0,0,0,0,0
65,Surfent,0,0,0,0,0,0,2,0,0,0,0,0
66,Maraith,0,0,0,0,0,0,0,0,2,1,0,0
67,Digtoise,0,0,0,0,0,0,0,0,0,3,0,0
68,Tombat,0,0,0,0,0,0,0,0,2,2,2,0
69,Lovander,0,0,2,0,2,2,0,0,0,1,0,0
70,Flambelle,1,0,1,0,0,1,0,0,0,0,0,1
71,Vanwyrm,1,0,0,0,0,3,0,0,0,0,0,0
72,Bushi,2,0,1,3,0,2,0,0,1,0,0,0
73,Beakon,0,0,0,0,0,3,0,2,1,0,0,0
74,Ragnahawk,3,0,0,0,0,3,0,0,0,0,0,0
75,Katress,0,0,2,0,2,2,0,0,0,0,0,0
76,Wixen,2,0,3,0,0,2,0,0,0,0,0,0
77,Verdash,0,2,3,2,0,2,0,0,3,0,0,0
78,Vaelet,0,2,2,0,3,1,0,0,3,0,0,0
79,Sibelyx,0,0,0,0,2,0,0,0,0,0,2,1
80,Elphidran,0,0,0,2,0,0,0,0,0,0,0,0
81,Kelpsea,0,0,0,0,0,0,1,0,0,0,0,0
82,Azurobe,0,0,0,0,0,0,3,0,0,0,0,0
83,Cryolinx,0,0,1,2,0,0,0,0,0,0,3,0
84,Blazehowl,3,0,0,2,0,0,0,0,0,0,0,0
85,Relaxaurus,0,0,0,0,0,1,2,0,0,0,0,0
86,Broncherry,0,3,0,0,0,0,0,0,0,0,0,0
87,Petallia,0,3,2,0,2,1,0,0,2,0,0,0
88,Reptyro,3,0,0,0,0,0,0,0,0,3,0,0
89,Kingpaca,0,0,0,0,0,0,0,0,1,0,0,0
90,Mammorest,0,2,0,2,0,0,0,0,0,2,0,0
91,Wumpo,0,0,2,3,0,4,0,0,0,0,2,0
92,Warsect,0,1,1,3,0,3,0,0,0,0,0,0
93,Fenglope,0,0,0,2,0,0,0,0,0,0,0,0
94,Felbat,0,0,0,0,3,0,0,0,0,0,0,0
95,Quivern,0,0,1,0,0,3,0,0,2,3,0,0
96,Blazamut,3,0,0,0,0,0,0,0,0,4,0,0
97,Helzephyr,0,0,0,0,0,3,0,0,0,0,0,0
98,Astegon,0,0,1,0,0,0,0,0,0,4,0,0
99,Menasting,0,0,0,2,0,0,0,0,0,3,0,0
100,Anubis,0,0,4,0,0,2,0,0,0,3,0,0
101,Jormuntide,0,0,0,0,0,0,4,0,0,0,0,0
102,Suzaku,3,0,0,0,0,0,0,0,0,0,0,0
103,Grizzbolt,0,0,2,0,0,3,0,3,2,0,0,0
104,Lyleen,0,4,3,0,3,0,0,0,2,0,0,0
105,Faleris,3,0,0,0,0,3,0,0,0,0,0,0
106,Orserk,0,0,3,0,0,3,0,4,0,0,0,0
107,Shadowbeak,0,0,0,0,0,0,0,0,1,0,0,0
108,Paladius,0,0,0,2,0,0,0,0,0,2,0,0
109,Necromus,0,0,0,2,0,0,0,0,0,2,0,0
110,Frostallion,0,0,0,0,0,0,0,0,0,0,4,0
111,Jetragon,0,0,0,0,0,0,0,0,3,0,0,0
101B,Jormuntide Ignis,4,0,0,0,0,0,0,0,0,0,0,0
102B,Suzaku Aqua,0,0,0,0,0,0,3,0,0,0,0,0
104B,Lyleen Noct,0,0,3,0,3,0,0,0,2,0,0,0
110B,Frostallion Noct,0,0,0,0,0,0,0,0,4,0,0,0
12B,Jolthog Cryst,0,0,0,0,0,0,0,0,0,0,1,0
24B,Mau Cryst,0,0,0,0,0,0,0,0,0,0,1,1
31B,Gobfin Ignis,2,0,1,0,0,1,0,0,0,0,0,0
32B,Hangyu Cryst,0,0,1,0,0,0,0,0,1,0,1,0
33B,Mossanda Lux,0,0,2,2,0,3,0,2,0,0,0,0
38B,Eikthyrdeer Terra,0,0,0,2,0,0,0,0,0,0,0,0
40B,Inceneram Noct,0,0,2,0,0,2,0,0,0,1,0,0
45B,Leezpunk Ignis,1,0,1,0,0,1,0,0,1,0,0,0
48B,Robinquill Terra,0,0,2,1,1,2,0,0,2,0,0,0
58B,Pyrin Noct,2,0,0,1,0,0,0,0,0,0,0,0
64B,Dinossom Lux,0,0,0,2,0,0,0,2,0,0,0,0
65B,Surfent Terra,0,0,0,0,0,0,0,0,1,0,0,0
71B,Vanwyrm Cryst,0,0,0,0,0,3,0,0,0,0,2,0
80B,Elphidran Aqua,0,0,0,2,0,0,3,0,0,0,0,0
81B,Kelpsea Ignis,1,0,0,0,0,0,0,0,0,0,0,0
84B,Blazehowl Noct,3,0,0,2,0,0,0,0,0,0,0,0
85B,Relaxaurus Lux,0,0,0,0,0,1,0,3,0,0,0,0
86B,Broncherry Aqua,0,0,0,0,0,0,3,0,0,0,0,0
88B,Ice Reptyro,0,0,0,0,0,0,0,0,0,3,3,0
89B,Ice Kingpaca,0,0,0,0,0,0,0,0,1,0,3,0
90B,Mammorest Cryst,0,0,0,2,0,0,0,0,0,2,2,0
91B,Wumpo Botan,0,1,2,3,0,4,0,0,0,0,0,0